article_index,article_title,missing_before,missing_after,external_sources_used
175,"Childhood malnutrition is associated with maternal care during pregnancy and childbirth: A cross-sectional study in Bauchi and cross river states, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
176,Equate and Conflate: Political Commitment to Hunger and Undernutrition Reduction in Five High-Burden Countries,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
177,Factors affecting malnutrition in children and the uptake of interventions to prevent the condition,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
178,"Factors associated with nutritional status of infants and young children in Somali Region, Ethiopia: A cross- sectional study Global health",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
179,Factors associated with stunting among children according to the level of food insecurity in the household: A cross-sectional study in a rural community of Southeastern Kenya Global health,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
180,Household food (in)security and nutritional status of urban poor children aged 6 to 23 months in Kenya.,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
181,Scaling up nutrition in fragile and conflict-affected states: The pivotal role of governance,journal; doi; abstract; keywords_author,abstract,crossref_title; semantic_scholar_title
182,Wealth and under-nourishment among married women in two impoverished nations: Evidence from Burkina Faso and Congo Democratic Republic,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
183,"What drives and constrains effective leadership in tackling child undernutrition? Findings from Bangladesh, Ethiopia, India and Kenya",journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
184,Association between economic growth and early childhood undernutrition: Evidence from 121 Demographic and Health Surveys from 36 low-income and middle-income countries,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
185,Can village savings and loan groups be a potential tool in the malnutrition fight? Mixed method findings from Mozambique,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
186,"Family and socioeconomic risk factors for undernutrition among children aged 6 to 23 months in Ibadan, Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
187,Impact of implementing performance-based financing on childhood malnutrition in Rwanda,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
188,Preventing Acute Malnutrition among Young Children in Crises: A Prospective Intervention Study in Niger,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
189,The politics of food and the fight against hunger: Reflections and lessons from Uganda,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
190,Seasonal variation in the prevalence of acute undernutrition among children under five years of age in east rural Ethiopia: A longitudinal study,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
191,Severe malnutrition among children under the age of 5 years admitted to a rural district hospital in southern Mozambique,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
192,The long-term cognitive consequences of early childhood malnutrition: The case of famine in Ghana,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
193,Assessing nutrition intervention programmes that addressed malnutrition among young children in South Africa between 1994-2010,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
194,Child malnutrition and climate in Sub-Saharan Africa: An analysis of recent trends in Kenya,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
195,"Household food security is inversely associated with undernutrition among adolescents from Kilosa, Tanzania",journal; doi; abstract; keywords_author,abstract,crossref_title; semantic_scholar_title
196,"Climate change, crop yields, and undernutrition: Development of a model to quantify the impact of climate scenarios on child undernutrition",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
197,Avaliação de políticas públicas de segurança alimentar em países com diferentes níveis de desenvolvimento,journal; doi; abstract; keywords_author,none,crossref_title; semantic_scholar_title
198,Crisis behind closed doors: Global food crisis and local hunger,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
199,"Primary health care facility infrastructure and services and the nutritional status of children 0 To 71 months old and their caregivers attending these facilities in four rural districts in the Eastern Cape and KwaZulu-Natal provinces, South Africa",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
200,"Estimation of undernutrition and mean calorie intake in Africa: Methodology, findings and implications",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
201,The niger famine: A collapse of entitlements and democratic responsiveness,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
202,"Underweight, overweight and obesity among South African adolescents: Results of the 2002 National Youth Risk Behaviour Survey",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
203,"Poverty, undernutrition, and child mortality: Some inter-regional puzzles and their implicationsfor research and policy",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
204,Reducing child malnutrition in Tanzania: Combined effects of income growth and program interventions,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
205,Child hunger in the developing world: An analysis of environmental and social correlates,journal; doi; abstract; keywords_author,abstract,crossref_title; openalex_doi
206,"Protein energy malnutrition and the nervous system: The impact of socioeconomic condition, weaning practice, infection and food intake, an Experience in Nigeria",journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
207,Validation of food security and social support scales in an Afro-Colombian community: application on a prevalence study of nutritional status in children aged 6 to 18 months,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi; scrape_url
208,Food security and nutrition - The Ethiopian case for action,journal; doi; abstract; keywords_author,none,crossref_title; openalex_doi
209,841 million undernourished?,journal; doi; abstract; keywords_author,abstract,crossref_title; semantic_scholar_title
